,Coefficient,Std_Error,T_Stat,P_Value
Intercept,-1.7290529354215673,0.1475817120079948,-11.715902410238343,9.873958154280693e-27
C(sector)[T.Consumer_Disc],-0.07051015046482784,0.12598703504301584,-0.5596619560159782,0.5760908532584765
C(sector)[T.Consumer_Staples],-0.15413739356407372,0.1268392054875212,-1.2152188510770685,0.2251539833126482
C(sector)[T.Energy],-0.16516710441239452,0.12684102742060044,-1.3021583613061265,0.19377313534542584
C(sector)[T.Financials],-0.2517988085339491,0.12542460264207816,-2.007571108297649,0.045506257040790137
C(sector)[T.Healthcare],-0.018133057769533223,0.1292962473875884,-0.14024426954307628,0.888552815651265
C(sector)[T.Industrials],-0.06829026493897007,0.12676069363708298,-0.538733758703512,0.5904349031350375
C(sector)[T.Materials],0.2999105980855518,0.141826606777887,2.114628594021419,0.035213329638567874
C(sector)[T.Real_Estate],-0.3230519474408394,0.13074175612302294,-2.470916385250784,0.013982943021494207
C(sector)[T.Technology],0.039744987979301594,0.11849482398720158,0.3354153931955237,0.7375255331870645
C(sector)[T.Utilities],-0.6871386255609488,0.12824264008012204,-5.358113534871443,1.5842750266710514e-07
has_profit_targets[T.True],-0.030020760608024322,0.05141865896163898,-0.5838495443924624,0.5597216080467794
win_rate_pct,0.046874619593830893,0.0023312241939641744,20.10729800900104,3.2418472452369977e-59
trades,-0.0020815761207582137,0.0005835835765139832,-3.5668860545946792,0.000414882674553011
