,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
Intercept,0.326583707675204,1.3862242825185256,0.35077090875894257,5.47827004309693,0.6413652758683639
C(sector)[T.Consumer_Disc],0.5605873246969091,1.7517010154983488,0.3865841447424568,7.937357207813471,0.46712905722387854
C(sector)[T.Consumer_Staples],-0.8344893731565981,0.43409608596367355,0.10240084757824962,1.8402133996496957,0.2574769269073979
C(sector)[T.Energy],-1.8372057266814292,0.15926182600144456,0.03631616688111803,0.6984307926644691,0.014857600054489956
C(sector)[T.Financials],-0.8171273359582722,0.44169868568888077,0.10508999171024641,1.8564824848136545,0.2646681084725673
C(sector)[T.Healthcare],1.3783961685332042,3.9685316647259614,0.7138544240356325,22.062262337602995,0.11529172520923582
C(sector)[T.Industrials],1.0399962009369577,2.8292062659981783,0.5586660283830505,14.327715824659233,0.20892106260739807
C(sector)[T.Materials],-1.5176713080021982,0.21922179304988235,0.041110972112747626,1.1689870630206685,0.07554635683547777
C(sector)[T.Real_Estate],-2.341737175519134,0.09616044547916619,0.020714917893567015,0.44638512796728386,0.0027922730728305962
C(sector)[T.Technology],0.26745191862943457,1.3066308037258514,0.31735862408588383,5.379668071611118,0.711076367819024
C(sector)[T.Utilities],-5.095939540596679,0.006121552485069965,0.0005508667016822742,0.06802626608765318,3.359099000130607e-05
C(asset_type)[T.Stock],0.9568094518017354,2.603377008829208,1.4401533408190095,4.706145976265372,0.0015378923519616412
has_profit_targets,1.4983828747161274,4.474447474489958,2.1497207577449724,9.313153873515635,6.168492233362865e-05
has_pyramiding,1.3767653425564974,3.962064954670349,1.936031398334418,8.108318242427275,0.00016451379597187644
trades,-0.004420004126230831,0.9955897497160411,0.9889795189244079,1.0022441625663343,0.19345176314308887
