term,strategy,n_obs,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
Intercept,Alt10,21,46.613542608359154,1.7538980158075368e+20,,,
C(sector)[T.Consumer_Disc],Alt10,21,67.08938449014343,1.3694603995560572e+29,,,
C(sector)[T.Consumer_Staples],Alt10,21,68.23228523605319,4.294424438944635e+29,,,
C(sector)[T.Energy],Alt10,21,-49.15901577635578,4.472091827472204e-22,,,
C(sector)[T.Financials],Alt10,21,-49.31031275303047,3.8441760658840177e-22,,,
C(sector)[T.Healthcare],Alt10,21,67.9034790902441,3.091051713687271e+29,,,
C(sector)[T.Industrials],Alt10,21,68.27308841736249,4.473274633116364e+29,,,
C(sector)[T.Materials],Alt10,21,-77.67365352872866,1.8482507164073754e-34,,,
C(sector)[T.Real_Estate],Alt10,21,-49.33525814430256,3.7494677687134084e-22,,,
C(sector)[T.Technology],Alt10,21,90.15734591846063,1.4283605123631103e+39,,,
C(sector)[T.Utilities],Alt10,21,-141.76945190437354,2.693452589750355e-62,,,
C(asset_type)[T.Stock],Alt10,21,-2.5051228288625182,0.08166556648058919,,,
trades,Alt10,21,0.07003568325317586,1.0725464525179988,,,
Intercept,Alt15,21,-42.367870909829335,3.979856872863123e-19,0.0,inf,0.999997448323247
C(sector)[T.Consumer_Disc],Alt15,21,-5.987105183028545,0.0025109221998242154,0.0,inf,0.99999966539785
C(sector)[T.Consumer_Staples],Alt15,21,-3.9591219072276225,0.019079860825919445,0.0,inf,0.9999997589267028
C(sector)[T.Energy],Alt15,21,-48.3651416902293,9.89203962723882e-22,0.0,inf,0.9999972827406344
C(sector)[T.Financials],Alt15,21,-4.948937186167939,0.007090941276072335,0.0,inf,0.9999996978262096
C(sector)[T.Healthcare],Alt15,21,39.17528557045364,1.0318352259710498e+17,0.0,inf,0.9999970405738617
C(sector)[T.Industrials],Alt15,21,39.28439887356506,1.1507941769333907e+17,0.0,inf,0.9999971297135388
C(sector)[T.Materials],Alt15,21,8.689094246153733,5937.801619662584,0.0,inf,0.9999999999999309
C(sector)[T.Real_Estate],Alt15,21,-46.829184215951585,4.595615684470876e-21,0.0,inf,0.9999971478215428
C(sector)[T.Technology],Alt15,21,51.760341689403056,3.014607512813879e+22,0.0,inf,0.999998626987147
C(sector)[T.Utilities],Alt15,21,-48.150765052035375,1.2257120014691757e-21,0.0,inf,0.9999971834616435
C(asset_type)[T.Stock],Alt15,21,58.18106954746537,1.852326140708352e+25,0.0,inf,0.9999910535606074
trades,Alt15,21,0.852865375788634,2.346360433242714,0.0,inf,0.9999991156994863
Intercept,Alt17,21,-29.408342100148626,1.6909053723558336e-13,,,
C(sector)[T.Consumer_Disc],Alt17,21,55.19557049768463,9.356893635167186e+23,,,
C(sector)[T.Consumer_Staples],Alt17,21,-27.912964375187286,7.543164837952832e-13,,,
C(sector)[T.Energy],Alt17,21,-25.153411836226777,1.191275029284869e-11,,,
C(sector)[T.Financials],Alt17,21,-27.60364369414163,1.027755626937472e-12,,,
C(sector)[T.Healthcare],Alt17,21,56.18650829120096,2.5205220917835664e+24,,,
C(sector)[T.Industrials],Alt17,21,57.24289193205381,7.248899760636477e+24,,,
C(sector)[T.Materials],Alt17,21,18.10265751935523,72758589.0329186,,,
