================================================================================
STRATEGY PERFORMANCE SUMMARY - ALL SECURITIES
================================================================================

Strategy,Security,Result_%,Profit_Factor,Win_Rate_%,Max_DD_%,Trades,Performance_Category,Options_Suitable
Baseline,FCX,+29.48,1.198,35.12,31.55,205,Very Profitable,Yes
Baseline,GOOGL,+8.02,1.0,30.61,10.68,49,Profitable,Yes
Baseline,AMZN,+35.82,2.508,48.15,11.51,54,Exceptional,Yes
Baseline,WMT,+31.69,2.935,51.16,6.38,43,Outstanding,Yes
Baseline,XOM,+3.16,1.149,31.58,13.71,38,Scratch,Yes
Baseline,JPM,+10.89,1.462,36.96,11.89,46,Profitable,Yes
Baseline,UNH,+23.59,1.728,46.55,16.76,58,Very Profitable,Yes
Baseline,CAT,+26.35,1.804,38.64,6.73,44,Very Profitable,Yes
Baseline,PLD,+2.50,1.159,46.34,8.22,41,Scratch,Yes
Baseline,MSFT,+36.22,2.71,41.86,8.63,43,Best Individual,Yes
Baseline,DUK,-19.93,0.22,21.43,20.80,42,Catastrophic,Yes
Baseline,SPY,NOT TESTED,,,,,Missing,
Baseline,QQQ,+3.11,0.947,36.25,10.93,80,Scratch,Yes
Baseline,XLE,-8.27,0.651,38.10,13.37,42,Unprofitable,Yes
Baseline,XLF,+0.80,1.048,37.25,18.06,51,Scratch,Yes
Baseline,XLV,+25.76,2.024,41.30,9.63,46,Best ETF,Yes
Baseline,XLI,+2.43,1.039,35.09,9.50,57,Scratch,Yes
Baseline,XLP,-10.23,0.558,35.09,12.26,57,Unprofitable,Yes
Baseline,XLY,+15.40,1.462,43.08,10.73,65,Very Profitable,Yes
Baseline,XLRE,-3.91,0.695,39.13,8.73,23,Unprofitable,Yes
Baseline,XLU,-20.99,0.211,24.49,25.34,49,Worst ETF,Yes
Alt2,FCX,-1.73,0.941,43.59,11.12,78,Unprofitable,No
Alt2,GOOGL,0.00,N/A,0.00,0.00,0,No Trades,No
Alt2,AMZN,~0.00,N/A,N/A,N/A,0,Scratch,No
Alt2,WMT,-4.35,0.00,0.00,4.35,5,All Losses,No
Alt2,XOM,-6.23,0.037,9.09,6.23,11,Nearly All Losses,No
Alt2,JPM,-1.24,0.726,40.00,4.69,10,Below Breakeven,No
Alt2,UNH,+0.24,1.104,57.14,2.26,7,Barely Profitable,No
Alt2,CAT,+24.53,16.77,72.73,1.83,11,Exceptional Outlier,No
Alt2,PLD,+2.63,3.681,66.67,2.14,6,Profitable,No
Alt2,MSFT,-8.97,0.00,0.00,8.97,14,Worst - Zero Wins,No
Alt2,DUK,+0.11,1.043,50.00,2.85,10,Barely Profitable,No
Alt2,SPY,+12.38,1.043,41.18,8.24,51,Profitable,No
Alt2,QQQ,-0.06,0.895,50.00,0.36,4,Scratch,No
Alt2,XLE,+2.13,1.336,47.37,6.90,19,Profitable,No
Alt2,XLF,+0.07,1.151,50.00,0.17,4,Barely Profitable,No
Alt2,XLV,+3.83,Infinity,100.00,0.85,4,Perfect 4/4,No
Alt2,XLI,-0.08,0.837,50.00,0.41,4,Scratch,No
Alt2,XLP,-2.26,0.00,0.00,2.26,4,All Losses,No
Alt2,XLY,-0.43,0.00,0.00,0.82,1,Only 1 Loss,No
Alt2,XLRE,-3.82,0.00,0.00,3.82,6,All Losses,No
Alt2,XLU,-0.70,0.626,71.43,2.69,7,High Win% Lost Money,No
Alt9,FCX,+13.69,1.093,33.18,36.10,214,Profitable,Yes
Alt9,GOOGL,-7.22,0.975,28.30,11.61,53,Unprofitable,Yes
Alt9,AMZN,+37.65,2.463,47.27,11.99,55,Exceptional,Yes
Alt9,WMT,+30.39,2.428,45.65,6.68,46,Outstanding,Yes
Alt9,XOM,-0.47,0.979,30.00,13.86,40,Scratch,Yes
Alt9,JPM,-0.29,0.924,34.00,12.01,50,Scratch,Yes
Alt9,UNH,+35.87,1.964,45.76,17.64,59,Excellent,Yes
Alt9,CAT,+31.54,2.017,38.64,6.78,44,Very Strong,Yes
Alt9,PLD,-1.25,0.935,43.18,8.33,44,Unprofitable,Yes
Alt9,MSFT,+28.90,2.141,43.40,8.80,53,Excellent,Yes
Alt9,DUK,-20.18,0.215,21.43,21.03,42,Disaster,Yes
Alt9,SPY,-23.99,0.700,36.21,29.79,174,Catastrophic,Yes
Alt9,QQQ,-1.44,0.835,34.94,11.99,83,Unprofitable,Yes
Alt9,XLE,-8.55,0.641,38.10,13.48,42,Failed Badly,Yes
Alt9,XLF,-13.62,0.587,33.90,21.05,59,Severe,Yes
Alt9,XLV,+29.96,2.102,45.10,8.28,51,Exception,Yes
Alt9,XLI,-4.57,0.778,32.79,12.28,61,Unprofitable,Yes
Alt9,XLP,-8.23,0.655,35.09,11.63,57,Failed,Yes
Alt9,XLY,+14.68,1.415,41.18,10.77,68,Profitable,Yes
Alt9,XLRE,-4.19,0.877,39.13,8.80,23,Unprofitable,Yes
