ticker,strategy,total_return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,category,options_suitable
FCX,Baseline,29.48,1.198,35.12,31.55,205,Very Profitable,Yes
GOOGL,Baseline,8.02,1.0,30.61,10.68,49,Profitable,Yes
AMZN,Baseline,35.82,2.508,48.15,11.51,54,Exceptional,Yes
WMT,Baseline,31.69,2.935,51.16,6.38,43,Outstanding,Yes
XOM,Baseline,3.16,1.149,31.58,13.71,38,Scratch,Yes
JPM,Baseline,10.89,1.462,36.96,11.89,46,Profitable,Yes
UNH,Baseline,23.59,1.728,46.55,16.76,58,Very Profitable,Yes
CAT,Baseline,26.35,1.804,38.64,6.73,44,Very Profitable,Yes
PLD,Baseline,2.50,1.159,46.34,8.22,41,Scratch,Yes
MSFT,Baseline,36.22,2.71,41.86,8.63,43,Best Individual,Yes
DUK,Baseline,-19.93,0.22,21.43,20.80,42,Catastrophic,Yes
QQQ,Baseline,3.11,0.947,36.25,10.93,80,Scratch,Yes
XLE,Baseline,-8.27,0.651,38.10,13.37,42,Unprofitable,Yes
XLF,Baseline,0.80,1.048,37.25,18.06,51,Scratch,Yes
XLV,Baseline,25.76,2.024,41.30,9.63,46,Best ETF,Yes
XLI,Baseline,2.43,1.039,35.09,9.50,57,Scratch,Yes
XLP,Baseline,-10.23,0.558,35.09,12.26,57,Unprofitable,Yes
XLY,Baseline,15.40,1.462,43.08,10.73,65,Very Profitable,Yes
XLRE,Baseline,-3.91,0.695,39.13,8.73,23,Unprofitable,Yes
XLU,Baseline,-20.99,0.211,24.49,25.34,49,Worst ETF,Yes
FCX,Alt2,-1.73,0.941,43.59,11.12,78,Unprofitable,No
GOOGL,Alt2,0.00,,0.00,0.00,0,No Trades,No
AMZN,Alt2,0.00,,,,0,Scratch,No
WMT,Alt2,-4.35,0.00,0.00,4.35,5,All Losses,No
XOM,Alt2,-6.23,0.037,9.09,6.23,11,Nearly All Losses,No
JPM,Alt2,-1.24,0.726,40.00,4.69,10,Below Breakeven,No
UNH,Alt2,0.24,1.104,57.14,2.26,7,Barely Profitable,No
CAT,Alt2,24.53,16.77,72.73,1.83,11,Exceptional Outlier,No
PLD,Alt2,2.63,3.681,66.67,2.14,6,Profitable,No
MSFT,Alt2,-8.97,0.00,0.00,8.97,14,Worst - Zero Wins,No
DUK,Alt2,0.11,1.043,50.00,2.85,10,Barely Profitable,No
SPY,Alt2,12.38,1.043,41.18,8.24,51,Profitable,No
QQQ,Alt2,-0.06,0.895,50.00,0.36,4,Scratch,No
XLE,Alt2,2.13,1.336,47.37,6.90,19,Profitable,No
XLF,Alt2,0.07,1.151,50.00,0.17,4,Barely Profitable,No
XLV,Alt2,3.83,inf,100.00,0.85,4,Perfect 4/4,No
XLI,Alt2,-0.08,0.837,50.00,0.41,4,Scratch,No
XLP,Alt2,-2.26,0.00,0.00,2.26,4,All Losses,No
XLY,Alt2,-0.43,0.00,0.00,0.82,1,Only 1 Loss,No
XLRE,Alt2,-3.82,0.00,0.00,3.82,6,All Losses,No
XLU,Alt2,-0.70,0.626,71.43,2.69,7,High Win% Lost Money,No
FCX,Alt9,13.69,1.093,33.18,36.10,214,Profitable,Yes
GOOGL,Alt9,-7.22,0.975,28.30,11.61,53,Unprofitable,Yes
AMZN,Alt9,37.65,2.463,47.27,11.99,55,Exceptional,Yes
WMT,Alt9,30.39,2.428,45.65,6.68,46,Outstanding,Yes
XOM,Alt9,-0.47,0.979,30.00,13.86,40,Scratch,Yes
JPM,Alt9,-0.29,0.924,34.00,12.01,50,Scratch,Yes
UNH,Alt9,35.87,1.964,45.76,17.64,59,Excellent,Yes
CAT,Alt9,31.54,2.017,38.64,6.78,44,Very Strong,Yes
PLD,Alt9,-1.25,0.935,43.18,8.33,44,Unprofitable,Yes
MSFT,Alt9,28.90,2.141,43.40,8.80,53,Excellent,Yes
DUK,Alt9,-20.18,0.215,21.43,21.03,42,Disaster,Yes
SPY,Alt9,-23.99,0.700,36.21,29.79,174,Catastrophic,Yes
QQQ,Alt9,-1.44,0.835,34.94,11.99,83,Unprofitable,Yes
XLE,Alt9,-8.55,0.641,38.10,13.48,42,Failed Badly,Yes
XLF,Alt9,-13.62,0.587,33.90,21.05,59,Severe,Yes
XLV,Alt9,29.96,2.102,45.10,8.28,51,Exception,Yes
XLI,Alt9,-4.57,0.778,32.79,12.28,61,Unprofitable,Yes
XLP,Alt9,-8.23,0.655,35.09,11.63,57,Failed,Yes
XLY,Alt9,14.68,1.415,41.18,10.77,68,Profitable,Yes
XLRE,Alt9,-4.19,0.877,39.13,8.80,23,Unprofitable,Yes
XLU,Alt9,-19.13,0.283,28.57,23.87,49,Terrible,Yes
FCX,Alt10,-32.21,0.754,39.31,34.85,318,Worst Performer,Yes
GOOGL,Alt10,21.77,1.708,52.86,8.46,70,Very Profitable,Yes
AMZN,Alt10,21.94,1.661,54.55,10.50,99,Very Profitable,Yes
WMT,Alt10,24.48,2.084,52.46,9.00,61,Excellent,Yes
XOM,Alt10,-7.75,0.757,39.66,13.97,58,Unprofitable,Yes
JPM,Alt10,-1.26,0.899,49.28,10.55,69,Scratch,Yes
UNH,Alt10,33.13,2.312,57.58,6.99,66,Best Performer,Yes
CAT,Alt10,20.56,2.588,58.82,5.34,51,Exceptional,Yes
PLD,Alt10,20.56,2.588,58.82,5.34,51,Very Profitable,Yes
MSFT,Alt10,22.47,1.877,50.65,10.82,77,Very Profitable,Yes
DUK,Alt10,-12.39,0.563,36.36,19.96,55,Failed Badly,Yes
SPY,Alt10,20.31,1.232,48.33,16.75,209,Huge vs Alt9,Yes
QQQ,Alt10,22.75,1.495,54.17,8.28,96,Very Profitable,Yes
XLE,Alt10,5.94,1.218,44.83,13.81,58,Profitable,Yes
XLF,Alt10,10.79,1.447,54.55,8.27,66,Profitable,Yes
XLV,Alt10,27.68,2.22,59.70,8.91,67,Outstanding,Yes
XLI,Alt10,4.42,1.089,46.38,12.87,69,Profitable,Yes
XLP,Alt10,1.86,1.079,51.61,14.14,62,Scratch,Yes
XLY,Alt10,22.79,1.754,60.53,11.05,76,Excellent,Yes
XLRE,Alt10,-7.27,0.583,37.50,11.09,32,Failed,Yes
XLU,Alt10,-7.13,0.657,35.48,14.59,62,Failed,Yes
FCX,Alt15,1.65,1.008,33.73,39.36,83,Scratch,No
GOOGL,Alt15,15.60,1.068,26.32,12.22,19,Borderline,No
AMZN,Alt15,48.63,2.283,47.37,16.13,19,Exceptional,No
WMT,Alt15,30.14,2.073,35.29,11.66,17,Excellent,No
XOM,Alt15,-14.97,0.667,21.05,23.55,19,Very Unprofitable,No
JPM,Alt15,18.53,1.521,35.29,17.10,17,Very Profitable,No
UNH,Alt15,33.42,1.746,47.62,19.34,21,Excellent,No
CAT,Alt15,27.82,1.305,33.33,12.21,18,Very Profitable,No
PLD,Alt15,-5.28,0.853,41.18,15.14,17,Unprofitable,No
MSFT,Alt15,52.65,2.598,46.67,9.36,15,Best Performer,No
DUK,Alt15,-29.01,0.280,16.67,33.49,18,Worst Individual,No
SPY,Alt15,-21.84,0.177,8.33,22.02,12,Catastrophic,No
QQQ,Alt15,8.28,1.025,37.93,16.50,29,Scratch,No
XLE,Alt15,-10.98,0.737,26.32,19.04,19,Unprofitable,No
XLF,Alt15,-16.16,0.698,27.27,31.84,22,Very Unprofitable,No
XLV,Alt15,24.19,1.546,38.89,19.92,18,Very Profitable,No
XLI,Alt15,9.88,1.181,36.84,11.43,19,Profitable,No
XLP,Alt15,-3.25,0.875,50.00,18.00,16,Unprofitable,No
XLY,Alt15,-10.19,0.824,34.62,23.39,26,Unprofitable,No
XLRE,Alt15,-14.43,0.482,27.27,17.03,11,Very Unprofitable,No
XLU,Alt15,-28.18,0.293,26.32,34.24,19,Worst ETF,No
FCX,Alt17,34.51,1.735,38.81,11.03,67,Very Profitable,No
GOOGL,Alt17,7.34,0.977,30.61,10.73,49,Scratch,No
AMZN,Alt17,34.64,2.436,48.15,11.99,54,Very Profitable,No
WMT,Alt17,30.47,2.822,48.84,6.68,43,Excellent,No
XOM,Alt17,2.88,1.134,31.58,13.86,38,Scratch,No
JPM,Alt17,10.68,1.448,36.96,12.01,46,Profitable,No
UNH,Alt17,23.38,1.722,46.55,18.78,58,Very Profitable,No
CAT,Alt17,26.20,1.795,38.64,6.78,44,Very Profitable,No
PLD,Alt17,2.18,1.137,46.34,8.33,41,Scratch,No
MSFT,Alt17,35.83,2.68,41.86,8.80,43,Best Performer,No
DUK,Alt17,-20.18,0.215,21.43,21.03,42,Catastrophic,No
SPY,Alt17,-4.30,0.878,40.54,14.35,74,Unprofitable,No
QQQ,Alt17,2.78,0.938,36.25,10.94,80,Scratch,No
XLE,Alt17,-8.55,0.641,38.10,13.48,42,Unprofitable,No
XLF,Alt17,-0.73,0.994,37.25,18.73,51,Scratch,No
XLV,Alt17,25.05,1.987,41.30,9.73,46,Very Profitable,No
XLI,Alt17,1.90,1.018,35.09,9.77,57,Scratch,No
XLP,Alt17,-11.19,0.527,35.09,12.72,57,Unprofitable,No
